训练迭代数,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
alice ,0%,30.59%,25.67%,33.08%,36.42%,36.76%,39.80%,44.34%,49.13%,54.96%,52.66%,51.33%,65.92%,56.36%,67.43%,66.25%,56.45%,65.58%,59.75%,75.10%,65.29%,77.27%,74.95%,73.70%,68.84%,69.09%,72.16%,77.36%,81.82%,83.36%,85.70%,83.37%,74.60%,81.32%,80.90%,87.87%,87.33%,84.16%,79.39%,84.85%,86.29%,85.47%,82.65%,86.93%,85.49%,84.13%,83.52%,84.60%,90.63%,89.68%,84.07%,83.92%,89.81%,89.76%,82.70%,87.43%,89.13%,91.14%,91.78%,87.85%,86.18%,89.33%,88.91%,84.61%,90.66%,91.02%,91.34%,91.75%,86.14%,91.64%,85.71%,92.83%,89.26%,85.09%,90.66%,94.44%,93.28%,86.22%,93.82%,93.53%,93.11%,93.05%,85.28%,89.51%,91.96%,93.98%,93.31%,88.69%,94.08%,90.07%,91.87%,90.88%,93.66%,93.03%,94.89%,94.43%,91.70%,92.05%,94.07%,94.88%,92.70%,94.75%,94.04%,92.55%,96.10%,94.91%,92.30%,92.88%,93.54%,95.16%,93.48%,96.17%,95.08%,95.07%,94.51%,96.01%,92.85%,95.70%,95.02%,93.08%,95.58%,96.01%,94.45%,94.48%,95.69%,93.93%,94.46%,95.39%,95.69%,94.68%,95.86%,95.70%,96.99%,95.78%,96.26%,96.35%,95.32%,96.77%,96.21%,95.95%,95.64%,95.77%,96.35%,96.36%,96.94%,96.50%,96.78%,96.61%,96.71%,96.64%,96.80%
bob ,0%,9.58%,9.58%,16.19%,26.83%,31.78%,35.26%,37.90%,40.94%,44.83%,49.43%,50.27%,54.19%,50.60%,56.10%,69.05%,54.39%,69.18%,63.67%,66.22%,56.62%,65.16%,66.49%,63.12%,69.05%,68.92%,72.52%,72.97%,66.58%,70.33%,76.72%,74.69%,77.97%,79.87%,62.11%,78.41%,76.66%,81.64%,75.18%,80.66%,78.13%,81.04%,82.30%,82.40%,80.30%,83.73%,79.54%,80.45%,74.45%,85.61%,78.40%,84.69%,81.27%,81.07%,87.13%,86.24%,85.83%,83.73%,81.04%,86.74%,84.65%,84.66%,83.87%,88.64%,88.29%,88.37%,91.24%,87.81%,90.19%,90.23%,86.86%,90.12%,88.01%,83.00%,86.38%,90.95%,90.71%,90.16%,91.06%,93.58%,90.91%,94.31%,90.16%,91.85%,91.16%,89.68%,90.73%,93.83%,90.04%,91.23%,90.29%,92.88%,93.32%,90.87%,89.09%,90.88%,94.77%,93.45%,88.64%,93.14%,91.25%,93.60%,95.04%,94.61%,94.23%,94.79%,92.49%,94.91%,94.12%,93.22%,94.23%,91.49%,95.30%,96.45%,94.68%,94.76%,94.74%,95.35%,95.10%,95.50%,95.40%,95.19%,94.94%,96.35%,95.26%,95.46%,94.67%,95.60%,96.34%,95.70%,96.06%,96.12%,95.53%,97.00%,94.85%,95.43%,95.95%,96.30%,96.20%,95.19%,95.35%,95.63%,96.93%,96.12%,96.49%,96.79%,96.45%,96.76%,96.52%,96.63%,96.69%
charlie,0%,11.54%,10.28%,17.38%,22.71%,26.95%,27.75%,28.24%,31.00%,30.46%,37.09%,45.21%,40.98%,58.84%,47.29%,41.21%,54.30%,40.56%,56.73%,49.61%,52.24%,54.89%,57.81%,57.53%,57.43%,55.66%,65.33%,70.24%,61.31%,60.56%,73.64%,64.12%,66.13%,66.47%,66.88%,71.83%,82.72%,67.59%,66.79%,70.61%,81.73%,81.08%,71.42%,61.18%,74.31%,73.90%,79.73%,72.83%,71.82%,81.30%,82.47%,85.15%,61.24%,87.76%,71.62%,72.73%,82.38%,86.10%,84.12%,85.23%,81.13%,78.50%,88.35%,79.75%,79.05%,81.43%,77.62%,85.86%,83.11%,78.56%,83.69%,83.33%,87.53%,88.72%,86.08%,76.20%,88.20%,82.87%,86.77%,78.29%,90.55%,88.96%,81.13%,87.90%,87.74%,86.60%,88.32%,87.88%,89.82%,89.35%,90.98%,90.05%,91.09%,86.09%,90.09%,90.10%,92.21%,92.94%,92.60%,88.82%,91.64%,92.55%,91.67%,94.44%,90.19%,93.45%,91.70%,92.17%,89.91%,90.11%,91.27%,92.64%,93.78%,89.84%,91.18%,93.61%,91.18%,92.69%,90.67%,92.77%,93.63%,93.03%,93.40%,91.08%,91.96%,92.81%,95.37%,95.09%,93.73%,92.87%,93.66%,95.00%,95.62%,93.96%,95.40%,95.41%,94.95%,93.51%,94.89%,94.47%,95.70%,95.83%,95.36%,95.62%,95.53%,95.31%,95.55%,95.40%,95.66%,95.05%,95.16%
PriChainFL,0%,9.58%,29.12%,47.46%,56.83%,68.36%,81.76%,79.77%,81.53%,86.41%,88.22%,90.18%,91.06%,90.71%,90.17%,91.98%,93.10%,91.50%,93.46%,92.26%,93.11%,93.82%,94.60%,93.91%,94.35%,94.32%,95.07%,94.69%,95.25%,95.42%,95.50%,95.83%,95.97%,95.98%,95.85%,95.94%,95.65%,95.97%,96.09%,96.33%,96.30%,96.30%,96.36%,96.48%,96.63%,96.45%,96.46%,96.65%,96.39%,96.28%,96.82%,96.61%,96.60%,96.56%,96.93%,96.92%,96.88%,96.93%,96.98%,96.78%,96.75%,96.73%,96.98%,97.09%,97.00%,97.15%,97.04%,97.04%,97.13%,97.28%,97.28%,97.16%,97.20%,97.22%,97.11%,96.73%,97.13%,97.22%,97.26%,97.06%,97.41%,97.33%,97.31%,97.34%,97.19%,97.47%,97.49%,97.43%,97.40%,97.41%,97.38%,97.36%,97.56%,97.53%,97.46%,97.49%,97.43%,97.42%,97.53%,97.47%,97.50%,97.52%,97.59%,97.50%,97.51%,97.51%,97.36%,97.60%,97.67%,97.64%,97.67%,97.65%,97.66%,97.55%,97.60%,97.68%,97.73%,97.72%,97.73%,97.61%,97.72%,97.68%,97.70%,97.63%,97.68%,97.74%,97.76%,97.74%,97.74%,97.76%,97.71%,97.74%,97.84%,97.78%,97.89%,97.77%,97.87%,97.77%,97.72%,97.75%,97.77%,97.74%,97.80%,97.76%,97.83%,97.78%,97.80%,97.82%,97.85%,97.81%,97.84%
